filename,P_wave_duration_ms,PR_interval_ms,QRS_duration_ms,ST_segment_duration_ms,T_wave_duration_ms,QT_interval_ms,RR_interval_sec,heart_rate_bpm,target
Normal (79).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (8).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (80).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (81).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (82).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (83).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (84).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (85).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (86).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (87).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (88).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (89).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (9).jpg,400.0,800.0,4240.0,6720.0,6720.0,10960.0,1.607,37.3,normal
Normal (90).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (91).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (92).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (93).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (94).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (95).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (96).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (97).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
Normal (98).jpg,400.0,800.0,47640.0,800.0,800.0,48440.0,1.691,35.5,normal
Normal (99).jpg,400.0,800.0,800.0,800.0,800.0,1600.0,1.691,35.5,normal
